STUDENT_ID,FIRST_NAME,LAST_NAME,GENDER,DOB,COLLEGE_ID,PROGRAM,BRANCH,GRAD_YEAR,CGPA,CITY,STATE,COUNTRY,SEGMENT,UPDATED_AT,LOAD_TS,FILE_NAME,ROW_NUMBER,BATCH_ID
ST0001,Arjun,Mehta,F,2001-09-28,CL013,M.Tech,MBA,2026,9.28,Pune,MH,India,REGULAR,2026-01-01 09:01:00,1788913793534112,placement_students.csv,1,BATCH_20260909_002951
ST0002,Kavya,Iyer,M,2001-09-16,CL011,B.Tech,DS,2025,7.29,Coimbatore,TN,India,REGULAR,2026-01-01 09:02:00,1788913793534112,placement_students.csv,2,BATCH_20260909_002951
ST0003,Rahul,Jain,M,2001-10-13,CL008,MBA,CSE,2025,9.19,Kolkata,WB,India,REGULAR,2026-01-01 09:03:00,1788913793534112,placement_students.csv,3,BATCH_20260909_002951
ST0004,Sneha,Nair,M,2001-01-07,CL004,M.Tech,CIVIL,2025,7.79,Kattankulathur,TN,India,REGULAR,2026-01-01 09:04:00,1788913793534112,placement_students.csv,4,BATCH_20260909_002951
ST0005,Vivek,Reddy,M,2001-11-10,CL008,MBA,ECE,2025,7.85,Kolkata,WB,India,PREMIUM,2026-01-01 09:05:00,1788913793534112,placement_students.csv,5,BATCH_20260909_002951
ST0006,Divya,Patel,F,2001-09-27,CL002,M.Tech,IT,2026,8.05,Chennai,TN,India,REGULAR,2026-01-01 09:06:00,1788913793534112,placement_students.csv,6,BATCH_20260909_002951
ST0007,Neha,Gupta,M,2001-10-25,CL002,B.Tech,MECH,2026,7.59,Chennai,TN,India,REGULAR,2026-01-01 09:07:00,1788913793534112,placement_students.csv,7,BATCH_20260909_002951
ST0008,Sanjay,Kumar,M,2001-04-07,CL001,M.Tech,AI&DS,2026,7.71,Chennai,TN,India,VIP,2026-01-01 09:08:00,1788913793534112,placement_students.csv,8,BATCH_20260909_002951
ST0009,Pooja,Saxena,M,2001-11-09,CL006,M.Tech,CIVIL,2025,6.25,Pilani,RJ,India,PREMIUM,2026-01-01 09:09:00,1788913793534112,placement_students.csv,9,BATCH_20260909_002951
ST0010,Amit,Singh,M,2001-03-08,CL012,B.Tech,CSE,2025,7.87,Manipal,KA,India,PREMIUM,2026-01-01 09:10:00,1788913793534112,placement_students.csv,10,BATCH_20260909_002951
ST0011,Meera,Das,M,2001-11-18,CL004,MBA,IT,2026,9.75,Kattankulathur,TN,India,REGULAR,2026-01-01 09:11:00,1788913793534112,placement_students.csv,11,BATCH_20260909_002951
ST0012,Karthik,Raj,F,2001-11-13,CL002,M.Tech,IT,2026,6.2,Chennai,TN,India,VIP,2026-01-01 09:12:00,1788913793534112,placement_students.csv,12,BATCH_20260909_002951
ST0013,John,David,F,2001-01-07,CL003,MBA,BBA,2026,6.56,Tiruchirappalli,TN,India,REGULAR,2026-01-01 09:13:00,1788913793534112,placement_students.csv,13,BATCH_20260909_002951
ST0014,Sunita,Verma,M,2001-08-09,CL001,M.Tech,AI&DS,2026,6.46,Chennai,TN,India,REGULAR,2026-01-01 09:14:00,1788913793534112,placement_students.csv,14,BATCH_20260909_002951
ST0015,Ajay,Mishra,M,2001-10-21,CL004,MBA,CIVIL,2025,7.54,Kattankulathur,TN,India,PREMIUM,2026-01-01 09:15:00,1788913793534112,placement_students.csv,15,BATCH_20260909_002951
ST0016,Lakshmi,Menon,M,2001-10-16,CL014,M.Tech,EEE,2025,8.46,Hyderabad,TS,India,PREMIUM,2026-01-01 09:16:00,1788913793534112,placement_students.csv,16,BATCH_20260909_002951
ST0017,Naveen,Chopra,M,2001-10-08,CL012,B.Tech,MBA,2025,6.91,Manipal,KA,India,PREMIUM,2026-01-01 09:17:00,1788913793534112,placement_students.csv,17,BATCH_20260909_002951
ST0018,Anita,Sharma,F,2001-10-03,CL007,B.Tech,ECE,2025,6.34,Delhi,DL,India,PREMIUM,2026-01-01 09:18:00,1788913793534112,placement_students.csv,18,BATCH_20260909_002951
ST0019,Vikram,Shah,M,2001-12-23,CL007,M.Tech,BBA,2026,7.97,Delhi,DL,India,VIP,2026-01-01 09:19:00,1788913793534112,placement_students.csv,19,BATCH_20260909_002951
ST0020,Deepa,Patel,M,2001-12-03,CL003,M.Tech,MBA,2025,8.55,Tiruchirappalli,TN,India,VIP,2026-01-01 09:20:00,1788913793534112,placement_students.csv,20,BATCH_20260909_002951
