SK_STUDENT,STUDENT_ID,FIRST_NAME,LAST_NAME,GENDER,COLLEGE_ID,PROGRAM,BRANCH,GRAD_YEAR,CGPA,CGPA_BAND,SEGMENT,CITY,STATE,COUNTRY,HASH_DIFF,EFF_START_TS,EFF_END_TS,IS_CURRENT
7da56210eed6a763a6b141f108dbf878,ST0001,Arjun,Mehta,F,CL013,M.Tech,MBA,2026,9.28,9+ Excellent,REGULAR,Pune,MH,India,c416547b1a5b88c0fcb55dfec2f780fc,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
dd33544bdcb66e76a22881522ca808e7,ST0002,Kavya,Iyer,M,CL011,B.Tech,DS,2025,7.29,7-8 Good,REGULAR,Coimbatore,TN,India,65b8e145666e47a77627c466fe025105,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
1e0a6a14674ef8eab613fbccd2ee8d08,ST0003,Rahul,Jain,M,CL008,MBA,CSE,2025,9.19,9+ Excellent,REGULAR,Kolkata,WB,India,d77fb007e5c2243a209d6b76af26a295,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
8a4a72fcfd85d912bee0e7743bf7c58f,ST0004,Sneha,Nair,M,CL004,M.Tech,CIVIL,2025,7.79,7-8 Good,REGULAR,Kattankulathur,TN,India,7cd0992bdd33c67ab5432e3f29232f8d,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
133a12e5f5400addb197d96be494da7c,ST0005,Vivek,Reddy,M,CL008,MBA,ECE,2025,7.85,7-8 Good,PREMIUM,Kolkata,WB,India,d62df4fb29413634a668a05532acd39c,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
7b50bf254e9fa3a739719d5ae05f4cc1,ST0006,Divya,Patel,F,CL002,M.Tech,IT,2026,8.05,8-9 Very Good,REGULAR,Chennai,TN,India,66dd0abef74389198c006fa956f7f29f,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
a36e29948c42e0d2bf78a0bcff55c3e4,ST0007,Neha,Gupta,M,CL002,B.Tech,MECH,2026,7.59,7-8 Good,REGULAR,Chennai,TN,India,6f8484af478d43727b9e4bccfcb778ca,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
697ff0d3d572b812569a9d744c73a1fc,ST0008,Sanjay,Kumar,M,CL001,M.Tech,AI&DS,2026,7.71,7-8 Good,VIP,Chennai,TN,India,1ebc5855d92ea25047ce7d1881d432e5,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
c911a53811768af4810ed15070085f87,ST0009,Pooja,Saxena,M,CL006,M.Tech,CIVIL,2025,6.25,6-7 Average,PREMIUM,Pilani,RJ,India,aa972b0c2c50d5f4cd8db17b59dca741,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
b1e03bc4dbb65a99724998b15eb221c6,ST0010,Amit,Singh,M,CL012,B.Tech,CSE,2025,7.87,7-8 Good,PREMIUM,Manipal,KA,India,34ed50a9d589e4eab708b55f970f62f5,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
682e1225d2a0e72651d8624c860db0bf,ST0011,Meera,Das,M,CL004,MBA,IT,2026,9.75,9+ Excellent,REGULAR,Kattankulathur,TN,India,94835e0a94e38853f4c98b7086904012,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
89efbcee9890e6baedb460cc830ad29b,ST0012,Karthik,Raj,F,CL002,M.Tech,IT,2026,6.2,6-7 Average,VIP,Chennai,TN,India,3c96324b846a08599146972f0039e165,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
e1a3b2d311ca40b0ae31bd17ef4aff34,ST0013,John,David,F,CL003,MBA,BBA,2026,6.56,6-7 Average,REGULAR,Tiruchirappalli,TN,India,1767f9460efb323bba06177e81f2d196,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
7c768326d6508a9c0b62838e10484f37,ST0014,Sunita,Verma,M,CL001,M.Tech,AI&DS,2026,6.46,6-7 Average,REGULAR,Chennai,TN,India,d979b30e4c8f7f3c9aaad6912edf166d,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
d006abcee7b2b536e7d8072227e8369b,ST0015,Ajay,Mishra,M,CL004,MBA,CIVIL,2025,7.54,7-8 Good,PREMIUM,Kattankulathur,TN,India,5f80c8f61d2496504fe627e91c254b45,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
